id	sentence	pros	formula
2	Certains chiens sont assis.	p(0,p(0,p(0,'Certains',chiens),p(0,sont,assis)),'.')	appl(word(4),appl(appl(word(2),word(3)),appl(word(0),word(1))))
4	Certains chiens ne courent pas.	p(0,p(1,p(0,p(0,'Certains',chiens),p(0,ne,courent)),pas),'.')	appl(word(5),appl(word(4),appl(appl(word(2),word(3)),appl(word(0),word(1)))))
6	Tout chien court.	p(0,p(0,p(0,'Tout',chien),court),'.')	appl(word(3),appl(word(2),appl(word(0),word(1))))
8	Plus d'un chien est assis.	p(0,p(0,p(0,'Plus',p(0,'d\'',p(0,un,chien))),p(0,est,assis)),'.')	appl(word(6),appl(appl(word(4),word(5)),appl(word(0),appl(word(1),appl(word(2),word(3))))))
10	Tous les chiens courent.	p(0,p(0,p(0,'Tous',p(0,les,chiens)),courent),'.')	appl(word(4),appl(word(3),appl(word(0),appl(word(1),word(2)))))
12	Plus de deux chiens courent.	p(0,p(0,p(0,'Plus',p(0,de,p(0,deux,chiens))),courent),'.')	appl(word(5),appl(word(4),appl(word(0),appl(word(1),appl(word(2),word(3))))))
14	Plus de quatre chiens sont assis.	p(0,p(0,p(0,'Plus',p(0,de,p(0,quatre,chiens))),p(0,sont,assis)),'.')	appl(word(6),appl(appl(word(4),word(5)),appl(word(0),appl(word(1),appl(word(2),word(3))))))
16	Plus de 3 chiens ne sont pas assis.	p(0,p(0,p(0,'Plus',p(0,de,p(0,3,chiens))),p(0,ne,p(0,sont,p(0,pas,assis)))),'.')	appl(word(8),appl(appl(word(4),appl(word(5),appl(word(6),word(7)))),appl(word(0),appl(word(1),appl(word(2),word(3))))))
18	Moins de six chiens courent.	p(0,p(0,p(0,'Moins',p(0,de,p(0,six,chiens))),courent),'.')	appl(word(5),appl(word(4),appl(word(0),appl(word(1),appl(word(2),word(3))))))
20	Un chien est assis.	p(0,p(0,p(0,'Un',chien),p(0,est,assis)),'.')	appl(word(4),appl(appl(word(2),word(3)),appl(word(0),word(1))))
22	Trois chiens courent.	p(0,p(0,p(0,'Trois',chiens),courent),'.')	appl(word(3),appl(word(2),appl(word(0),word(1))))
24	Entre six et sept chiens courent.	p(0,p(0,p(0,'Entre',p(0,p(0,six,p(0,et,sept)),chiens)),courent),'.')	appl(word(6),appl(word(5),appl(word(0),appl(appl(appl(word(2),word(3)),word(1)),word(4)))))
30	Un chien rouge court.	p(0,p(0,'Un',p(0,p(0,chien,rouge),court)),'.')	appl(word(4),appl(word(0),appl(word(3),appl(word(2),word(1)))))
32	60% des chiens courent.	p(0,p(0,p(0,60,p(0,'%',p(0,des,chiens))),courent),'.')	appl(word(5),appl(word(4),appl(word(0),appl(appl(word(2),word(3)),word(1)))))
34	40% des chiens sont assis.	p(0,p(0,p(0,40,p(0,'%',p(0,des,chiens))),p(0,sont,assis)),'.')	appl(word(6),appl(appl(word(4),word(5)),appl(word(0),appl(appl(word(2),word(3)),word(1)))))
36	Plus de 40% des chiens courent.	p(0,p(0,p(0,'Plus',p(0,de,p(0,40,p(0,'%',p(0,des,chiens))))),courent),'.')	appl(word(7),appl(word(6),appl(word(0),appl(word(1),appl(word(2),appl(appl(word(4),word(5)),word(3)))))))
38	Un chien brun et un chien rouge se poursuivent.	p(0,p(0,p(0,p(0,'Un',p(0,chien,brun)),p(0,et,p(0,un,p(0,chien,rouge)))),p(0,se,poursuivent)),'.')	appl(word(9),appl(appl(word(8),word(7)),appl(appl(word(3),appl(word(4),appl(word(6),word(5)))),appl(word(0),appl(word(2),word(1))))))
40	Deux chiens rouges se poursuivent l'un l'autre.	p(0,p(1,p(0,p(0,'Deux',p(0,chiens,rouges)),p(0,se,poursuivent)),p(0,'l\'',p(0,un,p(0,'l\'',autre)))),'.')	appl(word(9),appl(appl(word(5),appl(appl(word(7),word(8)),word(6))),appl(appl(word(4),word(3)),appl(word(0),appl(word(2),word(1))))))
101	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
102	Six enfants portant des hauts rouges se tiennent debout au sommet d'une montagne.	p(0,p(1,p(0,p(0,'Six',p(0,p(0,enfants,p(0,portant,p(0,des,hauts))),rouges)),p(0,se,p(0,tiennent,debout))),p(0,au,p(0,sommet,p(0,'d\'',p(0,une,montagne))))),'.')	appl(word(14),appl(appl(word(9),appl(appl(word(11),appl(word(12),word(13))),word(10))),appl(appl(appl(word(7),word(8)),word(6)),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))))
103	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
105	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
107	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
108	Quatre enfants portent des hauts rouges.	p(0,p(0,p(0,'Quatre',enfants),p(0,portent,p(0,des,p(0,hauts,rouges)))),'.')	appl(word(6),appl(appl(word(2),appl(word(3),appl(word(5),word(4)))),appl(word(0),word(1))))
109	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
111	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
112	Tous les enfants portent des hauts.	p(0,p(0,p(0,'Tous',p(0,les,enfants)),p(0,portent,p(0,des,hauts))),'.')	appl(word(6),appl(appl(word(3),appl(word(4),word(5))),appl(word(0),appl(word(1),word(2)))))
113	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
115	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
116	Moins de cinq enfants portent des hauts rouges.	p(0,p(0,p(0,'Moins',p(0,de,p(0,cinq,enfants))),p(0,portent,p(0,des,p(0,hauts,rouges)))),'.')	appl(word(8),appl(appl(word(4),appl(word(5),appl(word(7),word(6)))),appl(word(0),appl(word(1),appl(word(2),word(3))))))
117	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
119	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
121	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
123	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
124	Certains enfants ont les cheveux roux.	p(0,p(0,p(0,'Certains',enfants),p(0,ont,p(0,les,p(0,cheveux,roux)))),'.')	appl(word(6),appl(appl(word(2),appl(word(3),appl(word(5),word(4)))),appl(word(0),word(1))))
126	Plus de 4 chanteurs sont originaires d’Argentine.	p(0,p(0,p(0,'Plus',p(0,de,p(0,4,chanteurs))),p(0,sont,p(0,originaires,p(0,'d\'','Argentine')))),'.')	appl(word(8),appl(appl(word(4),appl(word(5),appl(word(6),word(7)))),appl(word(0),appl(word(1),appl(word(2),word(3))))))
128	Les deux tiers des chanteurs sont originaires d'Argentine.	p(0,p(0,p(0,'Les',p(0,p(0,deux,tiers),p(0,des,chanteurs))),p(0,sont,p(0,originaires,p(0,'d\'','Argentine')))),'.')	appl(word(9),appl(appl(word(5),appl(word(6),appl(word(7),word(8)))),appl(word(0),appl(appl(word(3),word(4)),appl(word(1),word(2))))))
130	Deux chanteurs viennent d’Argentine.	p(0,p(0,p(0,'Deux',chanteurs),p(0,viennent,p(0,'d\'','Argentine'))),'.')	appl(word(5),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1))))
132	La plupart des chanteurs viennent d’Argentine.	p(0,p(0,p(0,'La',p(0,plupart,p(0,des,chanteurs))),p(0,viennent,p(0,'d\'','Argentine'))),'.')	appl(word(7),appl(appl(word(4),appl(word(5),word(6))),appl(word(0),appl(word(1),appl(word(2),word(3))))))
134	Plusieurs chanteurs ne viennent pas du Chili.	p(0,p(0,p(0,'Plusieurs',chanteurs),p(0,ne,p(0,p(1,viennent,pas),p(0,du,'Chili')))),'.')	appl(word(7),appl(appl(word(2),lambda(A,appl(word(4),appl(appl(word(3),appl(word(5),word(6))),A)))),appl(word(0),word(1))))
160	36 % de la population africaine vit dans la richesse.	p(0,p(0,p(0,36,p(0,p(0,'%',p(0,de,p(0,la,population))),africaine)),p(0,vit,p(0,dans,p(0,la,richesse)))),'.')	appl(word(10),appl(appl(word(6),appl(word(7),appl(word(8),word(9)))),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1))))))
162	Il y avait plus de femmes que d'hommes en Ukraine.	p(0,p(1,p(0,'Il',p(0,y,p(0,avait,p(0,p(0,plus,p(0,de,femmes)),p(0,que,p(0,'d\'',hommes)))))),p(0,en,'Ukraine')),'.')	appl(word(11),appl(appl(word(9),word(10)),appl(appl(appl(word(2),appl(appl(word(3),appl(word(4),word(5))),appl(word(6),appl(word(7),word(8))))),word(1)),word(0))))
164	Le ratio hommes-femmes pour 100 femmes en Ukraine se situait entre 86 et 87.	p(0,p(0,p(0,'Le',p(0,p(0,p(0,ratio,'hommes-femmes'),p(0,pour,p(0,100,femmes))),p(0,en,'Ukraine'))),p(0,se,p(0,situait,p(0,entre,p(0,86,p(0,et,'.')))))),'87.')	appl(word(14),appl(appl(appl(word(9),appl(word(10),appl(appl(word(12),word(13)),word(11)))),word(8)),appl(word(0),appl(appl(word(6),word(7)),appl(appl(word(3),appl(word(4),word(5))),appl(word(2),word(1)))))))
166	Il y avait plus de femmes que d'hommes dans le monde.	p(0,p(1,p(0,'Il',p(0,y,p(0,avait,p(0,p(0,plus,p(0,de,femmes)),p(0,que,p(0,'d\'',hommes)))))),p(0,dans,p(0,le,monde))),'.')	appl(word(12),appl(appl(word(9),appl(word(10),word(11))),appl(appl(appl(word(2),appl(appl(word(3),appl(word(4),word(5))),appl(word(6),appl(word(7),word(8))))),word(1)),word(0))))
168	Il y avait plus d'hommes que de femmes en Ukraine.	p(0,p(1,p(0,'Il',p(0,y,p(0,avait,p(0,p(0,plus,p(0,'d\'',hommes)),p(0,que,p(0,de,femmes)))))),p(0,en,'Ukraine')),'.')	appl(word(11),appl(appl(word(9),word(10)),appl(appl(appl(word(2),appl(appl(word(3),appl(word(4),word(5))),appl(word(6),appl(word(7),word(8))))),word(1)),word(0))))
174	Certains hommes ne portent pas de bleu.	p(0,p(0,p(0,'Certains',hommes),p(0,ne,p(0,portent,p(0,pas,p(0,de,bleu))))),'.')	appl(word(7),appl(appl(word(2),appl(word(3),appl(word(4),appl(word(5),word(6))))),appl(word(0),word(1))))
180	La plupart des hommes portent du bleu.	p(0,p(0,p(0,'La',p(0,plupart,p(0,des,hommes))),p(0,portent,p(0,du,bleu))),'.')	appl(word(7),appl(appl(word(4),appl(word(5),word(6))),appl(word(0),appl(word(1),appl(word(2),word(3))))))
182	Au moins deux hommes portent du rouge.	p(0,p(0,p(0,p(0,'Au',moins),p(0,deux,hommes)),p(0,portent,p(0,du,rouge))),'.')	appl(word(7),appl(appl(word(4),appl(word(5),word(6))),appl(appl(word(0),word(1)),appl(word(2),word(3)))))
201	Il y a six chats, trois chats violets, un chat noir et un chat blanc qui courent le long de l'herbe grise.	p(0,p(1,p(0,'Il',p(0,y,p(0,a,p(0,p(0,p(0,p(0,six,chats),p(0,',',p(0,trois,p(0,chats,violets)))),p(0,',',p(0,un,p(0,chat,noir)))),p(0,et,p(0,un,p(0,p(0,chat,blanc),p(0,qui,courent)))))))),p(0,le,p(0,p(0,long,p(0,de,p(0,'l\'',herbe))),grise))),'.')	appl(word(25),appl(appl(word(19),appl(word(24),appl(appl(word(21),appl(word(22),word(23))),word(20)))),appl(appl(appl(word(2),appl(appl(word(13),appl(word(14),appl(appl(word(17),word(18)),appl(word(16),word(15))))),appl(appl(word(9),appl(word(10),appl(word(12),word(11)))),appl(appl(word(5),appl(word(6),appl(word(8),word(7)))),appl(word(3),word(4)))))),word(1)),word(0))))
202	Certains chats s’assoient.	p(0,p(0,p(0,'Certains',chats),p(0,'s\'',assoient)),'.')	appl(word(4),appl(appl(word(3),word(2)),appl(word(0),word(1))))
203	Il y a six chats, trois chats violets, un chat noir et un chat blanc qui courent le long de l'herbe grise.	p(0,p(1,p(0,'Il',p(0,y,p(0,a,p(0,p(0,p(0,p(0,six,chats),p(0,',',p(0,trois,p(0,chats,violets)))),p(0,',',p(0,un,p(0,chat,noir)))),p(0,et,p(0,un,p(0,p(0,chat,blanc),p(0,qui,courent)))))))),p(0,le,p(0,p(0,long,p(0,de,p(0,'l\'',herbe))),grise))),'.')	appl(word(25),appl(appl(word(19),appl(word(24),appl(appl(word(21),appl(word(22),word(23))),word(20)))),appl(appl(appl(word(2),appl(appl(word(13),appl(word(14),appl(appl(word(17),word(18)),appl(word(16),word(15))))),appl(appl(word(9),appl(word(10),appl(word(12),word(11)))),appl(appl(word(5),appl(word(6),appl(word(8),word(7)))),appl(word(3),word(4)))))),word(1)),word(0))))
204	Certains chats ne courent pas.	p(0,p(1,p(0,p(0,'Certains',chats),p(0,ne,courent)),pas),'.')	appl(word(5),appl(word(4),appl(appl(word(2),word(3)),appl(word(0),word(1)))))
205	Il y a six chats, trois chats violets, un chat noir et un chat blanc qui courent le long de l'herbe grise.	p(0,p(1,p(0,'Il',p(0,y,p(0,a,p(0,p(0,p(0,p(0,six,chats),p(0,',',p(0,trois,p(0,chats,violets)))),p(0,',',p(0,un,p(0,chat,noir)))),p(0,et,p(0,un,p(0,p(0,chat,blanc),p(0,qui,courent)))))))),p(0,le,p(0,p(0,long,p(0,de,p(0,'l\'',herbe))),grise))),'.')	appl(word(25),appl(appl(word(19),appl(word(24),appl(appl(word(21),appl(word(22),word(23))),word(20)))),appl(appl(appl(word(2),appl(appl(word(13),appl(word(14),appl(appl(word(17),word(18)),appl(word(16),word(15))))),appl(appl(word(9),appl(word(10),appl(word(12),word(11)))),appl(appl(word(5),appl(word(6),appl(word(8),word(7)))),appl(word(3),word(4)))))),word(1)),word(0))))
206	Tout chat court.	p(0,p(0,p(0,'Tout',chat),court),'.')	appl(word(3),appl(word(2),appl(word(0),word(1))))
207	Il y a six chats, trois chats violets, un chat noir et un chat blanc qui courent le long de l'herbe grise.	p(0,p(1,p(0,'Il',p(0,y,p(0,a,p(0,p(0,p(0,p(0,six,chats),p(0,',',p(0,trois,p(0,chats,violets)))),p(0,',',p(0,un,p(0,chat,noir)))),p(0,et,p(0,un,p(0,p(0,chat,blanc),p(0,qui,courent)))))))),p(0,le,p(0,p(0,long,p(0,de,p(0,'l\'',herbe))),grise))),'.')	appl(word(25),appl(appl(word(19),appl(word(24),appl(appl(word(21),appl(word(22),word(23))),word(20)))),appl(appl(appl(word(2),appl(appl(word(13),appl(word(14),appl(appl(word(17),word(18)),appl(word(16),word(15))))),appl(appl(word(9),appl(word(10),appl(word(12),word(11)))),appl(appl(word(5),appl(word(6),appl(word(8),word(7)))),appl(word(3),word(4)))))),word(1)),word(0))))
208	Plus d'un chat est assis.	p(0,p(0,p(0,'Plus',p(0,'d\'',p(0,un,chat))),p(0,est,assis)),'.')	appl(word(6),appl(appl(word(4),word(5)),appl(word(0),appl(word(1),appl(word(2),word(3))))))
